m,u,endpoint_delta,sigma,excluded_regular_sources,containing_sources,continuing_sources,preferred_witness,next_label,next_kind,next_source
19,9,150,7,6 7 8,1 2 4 5 9 10 11 12 13 14 15 16 17 18,1 2 4 5 10 11 12 13 14 15 16 17 18,10,151,regular_start,6
19,10,169,8,7 8 9,1 2 4 5 6 10 11 12 13 14 15 16 17 18,1 2 4 5 6 11 12 13 14 15 16 17 18,11,170,regular_start,7
19,11,188,9,8 9 10,1 2 4 5 6 7 11 12 13 14 15 16 17 18,1 2 4 5 6 7 12 13 14 15 16 17 18,12,189,regular_start,8
19,12,207,10,9 10 11,1 2 4 5 6 7 8 12 13 14 15 16 17 18,1 2 4 5 6 7 8 13 14 15 16 17 18,13,208,regular_start,9
19,13,226,11,10 11 12,1 2 4 5 6 7 8 9 13 14 15 16 17 18,1 2 4 5 6 7 8 9 14 15 16 17 18,14,227,regular_start,10
19,14,245,12,11 12 13,1 2 4 5 6 7 8 9 10 14 15 16 17 18,1 2 4 5 6 7 8 9 10 15 16 17 18,15,246,regular_start,11
19,15,264,13,12 13 14,1 2 4 5 6 7 8 9 10 11 15 16 17 18,1 2 4 5 6 7 8 9 10 11 16 17 18,16,265,regular_start,12
19,16,283,14,13 14 15,1 2 4 5 6 7 8 9 10 11 12 16 17 18,1 2 4 5 6 7 8 9 10 11 12 17 18,17,284,regular_start,13
19,17,302,15,14 15 16,1 2 4 5 6 7 8 9 10 11 12 13 17 18,1 2 4 5 6 7 8 9 10 11 12 13 18,18,303,regular_start,14
19,18,321,16,15 16 17,1 2 4 5 6 7 8 9 10 11 12 13 14 18,1 2 4 5 6 7 8 9 10 11 12 13 14,1,322,regular_start,15
21,1,439,20,19 20,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,2,440,regular_start,19
21,2,19,0,1 20,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,4,20,regular_start,20
21,4,61,2,1 2,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,5,62,regular_start,1
21,5,82,3,2 4,1 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,6,83,regular_start,2
21,6,103,4,4 5,1 2 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 7 8 9 10 11 12 13 14 15 16 17 18 19 20,7,104,exceptional_start,
21,7,124,5,4 5 6,1 2 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 8 9 10 11 12 13 14 15 16 17 18 19 20,8,125,regular_start,4
21,8,145,6,5 6 7,1 2 4 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 4 9 10 11 12 13 14 15 16 17 18 19 20,9,146,regular_start,5
21,9,166,7,6 7 8,1 2 4 5 9 10 11 12 13 14 15 16 17 18 19 20,1 2 4 5 10 11 12 13 14 15 16 17 18 19 20,10,167,regular_start,6
21,10,187,8,7 8 9,1 2 4 5 6 10 11 12 13 14 15 16 17 18 19 20,1 2 4 5 6 11 12 13 14 15 16 17 18 19 20,11,188,regular_start,7
21,11,208,9,8 9 10,1 2 4 5 6 7 11 12 13 14 15 16 17 18 19 20,1 2 4 5 6 7 12 13 14 15 16 17 18 19 20,12,209,regular_start,8
21,12,229,10,9 10 11,1 2 4 5 6 7 8 12 13 14 15 16 17 18 19 20,1 2 4 5 6 7 8 13 14 15 16 17 18 19 20,13,230,regular_start,9
21,13,250,11,10 11 12,1 2 4 5 6 7 8 9 13 14 15 16 17 18 19 20,1 2 4 5 6 7 8 9 14 15 16 17 18 19 20,14,251,regular_start,10
21,14,271,12,11 12 13,1 2 4 5 6 7 8 9 10 14 15 16 17 18 19 20,1 2 4 5 6 7 8 9 10 15 16 17 18 19 20,15,272,regular_start,11
21,15,292,13,12 13 14,1 2 4 5 6 7 8 9 10 11 15 16 17 18 19 20,1 2 4 5 6 7 8 9 10 11 16 17 18 19 20,16,293,regular_start,12
21,16,313,14,13 14 15,1 2 4 5 6 7 8 9 10 11 12 16 17 18 19 20,1 2 4 5 6 7 8 9 10 11 12 17 18 19 20,17,314,regular_start,13
21,17,334,15,14 15 16,1 2 4 5 6 7 8 9 10 11 12 13 17 18 19 20,1 2 4 5 6 7 8 9 10 11 12 13 18 19 20,18,335,regular_start,14
21,18,355,16,15 16 17,1 2 4 5 6 7 8 9 10 11 12 13 14 18 19 20,1 2 4 5 6 7 8 9 10 11 12 13 14 19 20,19,356,regular_start,15
21,19,376,17,16 17 18,1 2 4 5 6 7 8 9 10 11 12 13 14 15 19 20,1 2 4 5 6 7 8 9 10 11 12 13 14 15 20,20,377,regular_start,16
21,20,397,18,17 18 19,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 20,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16,1,398,regular_start,17
