m,classification,parity,m_mod_6,m_mod_12,rule_valid,all_hamilton,sign_product,defect_vertex_count,low_layer_only,json_path
3,candidate_fail,odd,3,3,True,False,1,27,True,artifacts/4d_generalization/d4_layer0_swap01_swap23_direction_tuple/m3.json
4,candidate_fail,even,4,4,True,False,1,64,True,artifacts/4d_generalization/d4_layer0_swap01_swap23_direction_tuple/m4.json
5,candidate_fail,odd,5,5,True,False,1,125,True,artifacts/4d_generalization/d4_layer0_swap01_swap23_direction_tuple/m5.json
6,candidate_fail,even,0,6,True,False,1,216,True,artifacts/4d_generalization/d4_layer0_swap01_swap23_direction_tuple/m6.json
