m,trials,successes,success_rate,median_runtime_sec,mean_runtime_sec,median_step_of_success,mean_step_of_success,median_restart_of_success,mean_restart_of_success,median_swaps_accepted,mean_swaps_accepted
3,3,3,1.0,0.783564729616046,1.3014788012951612,4,5.666666666666667,2,2.6666666666666665,1237,1862
4,3,3,1.0,0.02546178549528122,0.023982295766472816,39,36.666666666666664,2,2,17,17
5,3,3,1.0,3.47645360045135,3.432184994841615,38,56.333333333333336,2,2,777,790
6,3,3,1.0,0.3983407597988844,0.4370749021569888,200,218.33333333333334,3,4,90,87.66666666666667
7,3,3,1.0,3.0253086406737566,4.191873676454027,74,363.6666666666667,1,1.3333333333333333,354,367
8,3,3,1.0,0.6272428389638662,0.740940406297644,133,156,1,2,52,58.666666666666664
9,3,3,1.0,0.7898179087787867,13.730510336657366,116,97.33333333333333,1,1.6666666666666667,42,502.3333333333333
10,3,3,1.0,1.352669671177864,38.09005217440426,149,238,1,4.333333333333333,48,1265
