Generic-late defect-cycle three-block theorem check

Scope: 27 <= m <= 1501, 3|m, 5∤m, 7∤m, m ≡ 3 or 9 (mod 15)
Moduli checked: 84
Total defect-cycle states checked: 16453
all_pass: True
num_bad: 0

Per modulus:
m=1089, M=363, case=15r+9/unsplit, L=363, runs=[(3, 4), (72, 290), (76, 69)], match=True
m=1119, M=373, case=15r+9/unsplit, L=373, runs=[(3, 4), (74, 298), (78, 71)], match=True
m=1143, M=381, case=15r+3/unsplit, L=381, runs=[(228, 229), (230, 150), (78, 2)], match=True
m=1149, M=383, case=15r+9/split, L=128, runs=[(0, 1), (25, 102), (26, 25)], match=True
m=1173, M=391, case=15r+3/unsplit, L=391, runs=[(234, 235), (236, 154), (80, 2)], match=True
m=1179, M=393, case=15r+9/unsplit, L=393, runs=[(3, 4), (78, 314), (82, 75)], match=True
m=1203, M=401, case=15r+3/split, L=134, runs=[(0, 1), (106, 27), (107, 106)], match=True
m=1209, M=403, case=15r+9/unsplit, L=403, runs=[(3, 4), (80, 322), (84, 77)], match=True
m=1233, M=411, case=15r+3/unsplit, L=411, runs=[(246, 247), (248, 162), (84, 2)], match=True
m=1263, M=421, case=15r+3/unsplit, L=421, runs=[(252, 253), (254, 166), (86, 2)], match=True
m=1269, M=423, case=15r+9/unsplit, L=423, runs=[(3, 4), (84, 338), (88, 81)], match=True
m=1293, M=431, case=15r+3/split, L=144, runs=[(0, 1), (114, 29), (115, 114)], match=True
m=1299, M=433, case=15r+9/unsplit, L=433, runs=[(3, 4), (86, 346), (90, 83)], match=True
m=1329, M=443, case=15r+9/split, L=148, runs=[(0, 1), (29, 118), (30, 29)], match=True
m=1353, M=451, case=15r+3/unsplit, L=451, runs=[(270, 271), (272, 178), (92, 2)], match=True
m=1359, M=453, case=15r+9/unsplit, L=453, runs=[(3, 4), (90, 362), (94, 87)], match=True
m=1383, M=461, case=15r+3/split, L=154, runs=[(0, 1), (122, 31), (123, 122)], match=True
m=1389, M=463, case=15r+9/unsplit, L=463, runs=[(3, 4), (92, 370), (96, 89)], match=True
m=1413, M=471, case=15r+3/unsplit, L=471, runs=[(282, 283), (284, 186), (96, 2)], match=True
m=1419, M=473, case=15r+9/split, L=158, runs=[(0, 1), (31, 126), (32, 31)], match=True
m=1443, M=481, case=15r+3/unsplit, L=481, runs=[(288, 289), (290, 190), (98, 2)], match=True
m=1473, M=491, case=15r+3/split, L=164, runs=[(0, 1), (130, 33), (131, 130)], match=True
m=1479, M=493, case=15r+9/unsplit, L=493, runs=[(3, 4), (98, 394), (102, 95)], match=True
